Date,Open,High,Low,Close,Adj Close,Volume
10/31/2019,316.410004,319.850006,308.73999,313.570007,313.570007,1789400
11/1/2019,316.25,322.079987,312.869995,316.76001,316.76001,1600500
11/4/2019,318.380005,321,303.769989,307.910004,307.910004,2622600
11/5/2019,308.089996,309.049988,294.462006,295.5,295.5,2806000
11/6/2019,296.920013,300.700012,291.51001,295.019989,295.019989,1635900
11/7/2019,295.549988,297.48999,282.440002,285.75,285.75,2448900
11/8/2019,282.079987,298.809998,282.079987,297.640015,297.640015,2467200
11/11/2019,296.040009,305.200012,293.459991,303.320007,303.320007,1747800
11/12/2019,301.820007,310.748993,301.820007,305.559998,305.559998,1677200
11/13/2019,305,314.839996,302.640015,314.309998,314.309998,1964200
11/14/2019,314.320007,319.890015,309.355011,312.450012,312.450012,1653500
11/15/2019,314.929993,315.309998,309.700012,312.380005,312.380005,1020500
11/18/2019,312.730011,325.829987,310.350006,322.980011,322.980011,1743500
11/19/2019,323.230011,325.779999,314.51001,316.279999,316.279999,1428400
11/20/2019,314.380005,325.118011,312,317.049988,317.049988,1656900
11/21/2019,317.5,321.980011,314.200012,316.070007,316.070007,1353100
11/22/2019,318.76001,320,309.733002,314.519989,314.519989,1116300
11/25/2019,315.089996,318.73999,312.320007,317.070007,317.070007,1371800
11/26/2019,317.940002,337.170013,317.079987,336.190002,336.190002,2876600
11/27/2019,337.51001,342.649994,330.079987,341,341,2413600
11/29/2019,339.899994,344,335.51001,336.75,336.75,1206700
12/2/2019,336,336,311.532013,330.839996,330.839996,2970200
12/3/2019,321.01001,351.309998,320,350.660004,350.660004,3269800
12/4/2019,350,376.910004,349.51001,372,372,5600800
12/5/2019,371.029999,376.589996,360.26001,363.589996,363.589996,3242200
12/6/2019,367.799988,372.290009,360.75,364.600006,364.600006,2198700
12/9/2019,365.179993,381.109985,364,369.790009,369.790009,4074600
12/10/2019,373.51001,373.970001,364.54599,368,368,1514700
12/11/2019,368.410004,374.5,365.51001,373.079987,373.079987,1837900
12/12/2019,372,376.299988,364.910004,372.049988,372.049988,2171400
12/13/2019,370.450012,392,370.450012,385.570007,385.570007,3257000
12/16/2019,389.73999,396.670013,383,393.630005,393.630005,2621700
12/17/2019,393,397,380.630005,387.950012,387.950012,2464100
12/18/2019,391.019989,404.799988,390.535004,396.940002,396.940002,3070700
12/19/2019,395.589996,401.980011,391.269989,393.059998,393.059998,1941000
12/20/2019,393.049988,398.696014,387.51001,390.070007,390.070007,1684200
12/23/2019,392.869995,398.709991,388.029999,389.130005,389.130005,1429000
12/24/2019,389.809998,400.640015,386.140015,399.390015,399.390015,1527300
12/26/2019,402.76001,416.600006,402.399994,408.75,408.75,2349800
12/27/2019,411.51001,415.799988,403.109985,408,408,1913300
12/30/2019,408.380005,409.320007,392.109985,396.359985,396.359985,1826900
12/31/2019,394.959991,403.940002,391.01001,397.579987,397.579987,1122200
1/2/2020,403.98999,408.23999,398.359985,407.809998,407.809998,1396700
1/3/2020,401.600006,408.403015,397,404.290009,404.290009,1031700
1/6/2020,398.589996,413.519989,395.420013,413.329987,413.329987,1686000
1/7/2020,415.75,422.480011,410.119995,414.5,414.5,1552900
1/8/2020,413.929993,422.545013,411.859985,418.100006,418.100006,1550100
1/9/2020,423.100006,431.709991,421.790009,430.200012,430.200012,1784400
1/10/2020,432.48999,438.559998,427.670013,429.170013,429.170013,1804100
1/13/2020,434.98999,446.744995,433.75,440.25,440.25,1999800
1/14/2020,442.769989,445.920013,430.5,441.220001,441.220001,1505500
1/15/2020,441.920013,453,441.220001,448.51001,448.51001,1632900
1/16/2020,452.73999,453.779999,446.640015,451.299988,451.299988,1466900
1/17/2020,452.730011,458.910004,452,454.880005,454.880005,1869200
1/21/2020,454.98999,472.859985,454.089996,465.440002,465.440002,2139300
1/22/2020,470,476.786011,463.170013,464.76001,464.76001,2358400
1/23/2020,464.769989,473,460,469.25,469.25,2445000
1/24/2020,474,476.51001,457.829987,465.480011,465.480011,2141100
1/27/2020,447.619995,459.899994,436.73999,451.109985,451.109985,2247400
1/28/2020,453.5,468.670013,451.100006,467.660004,467.660004,1536100
1/29/2020,473.390015,480.04599,470.450012,471.670013,471.670013,1808500
1/30/2020,470.5,478.149994,464.660004,476.880005,476.880005,1507100
1/31/2020,480.579987,482.869995,463.019989,465.660004,465.660004,2180200
2/3/2020,468.25,474.880005,457.25,469.390015,469.390015,1853100
2/4/2020,476.390015,487.679993,471.790985,485.459991,485.459991,1779800
2/5/2020,493.5,495,467.958008,475.559998,475.559998,2131700
2/6/2020,473.160004,475.730011,462.5,472.980011,472.980011,1673200
2/7/2020,472,481.730011,466.779999,478.690002,478.690002,1194400
2/10/2020,479.109985,491.692993,476.529999,491.690002,491.690002,1865000
2/11/2020,494.070007,499.880005,489.109985,492.75,492.75,2693000
2/12/2020,568.900024,593.890015,529,531.25,531.25,9779400
2/13/2020,533.01001,554.780029,530.70697,532.969971,532.969971,4522500
2/14/2020,541,542.200012,523.330017,531.219971,531.219971,2208200
2/18/2020,534,548.880005,532,536.409973,536.409973,2446400
2/19/2020,544.049988,549.684998,538.640015,543.210022,543.210022,1785800
2/20/2020,542.690002,547.184998,507.399994,535.580017,535.580017,2466900
2/21/2020,531.23999,534.599976,511.609985,520.659973,520.659973,1925800
2/24/2020,482,504.045013,476,490.959991,490.959991,3288000
2/25/2020,500,502.429993,456.459991,466.459991,466.459991,3408400
2/26/2020,459.25,484,459.040009,471.179993,471.179993,2532000
2/27/2020,452.279999,467.933014,427.934998,438.369995,438.369995,3716800
2/28/2020,422.63501,463.309998,420.5,463.309998,463.309998,3474600
3/2/2020,483.200012,488.75,461.596008,488.399994,488.399994,3255500
3/3/2020,501.480011,503,467.519989,476.940002,476.940002,3157200
3/4/2020,489,514,486,512.22998,512.22998,2694500
3/5/2020,495,512.375,491.25,498.220001,498.220001,2460200
3/6/2020,480,491.200012,459.147003,472.070007,472.070007,2913500
3/9/2020,430.820007,446.079987,416.51001,418.320007,418.320007,2986600
3/10/2020,445,450.5,420.630005,450.339996,450.339996,2864100
3/11/2020,435.25,442,406.329987,422.309998,422.309998,2812600
3/12/2020,371,403.570007,366.100006,377.779999,377.779999,4419400
3/13/2020,404,406.420013,363.01001,390.899994,390.899994,3314400
3/16/2020,339,362,321.5,322.290009,322.290009,4179900
3/17/2020,330.019989,358,307.670013,355.089996,355.089996,4240800
3/18/2020,326.339996,358.556,305.299988,336.829987,336.829987,3522400
3/19/2020,336.160004,345.730011,316,332.5,332.5,3247200
3/20/2020,345,372.542999,342,346.059998,346.059998,4295700
3/23/2020,346.540009,384.179993,335.119995,375.390015,375.390015,3650900
3/24/2020,412.76001,432.98999,406.67099,430,430,3504700
3/25/2020,435.940002,470.570007,432.109985,446.600006,446.600006,3563200
3/26/2020,454.399994,470.480011,435.299988,447.410004,447.410004,3093800
3/27/2020,427.609985,433.359985,412.019989,421.619995,421.619995,2569300
3/30/2020,423.48999,434.890015,412.010986,430.380005,430.380005,1598800
3/31/2020,428.079987,439.589996,414,416.929993,416.929993,1950100
4/1/2020,402.98999,406,381.529999,384.670013,384.670013,2272700
4/2/2020,350,365.940002,334.549988,346.299988,346.299988,5205500
4/3/2020,358.029999,363.790009,345,357.649994,357.649994,2615900
4/6/2020,380,393.570007,369.299988,392.649994,392.649994,2766600
4/7/2020,408.98999,408.98999,374.019989,378.540009,378.540009,3214200
4/8/2020,383,417.570007,381.309998,414.51001,414.51001,3353200
4/9/2020,422.51001,439,413,417.73999,417.73999,2935400
4/13/2020,423.700012,453.351013,417.809998,447.450012,447.450012,3120200
4/14/2020,467.029999,501.470001,461.339996,496.059998,496.059998,3746600
4/15/2020,481.119995,500.440002,477.109985,497.170013,497.170013,2684300
4/16/2020,508.5,529.130005,502.01001,526.429993,526.429993,3704900
4/17/2020,540.5,591.830017,539,590.390015,590.390015,6141700
4/20/2020,585,644.950012,584,629.900024,629.900024,6830500
4/21/2020,647,665.73999,556.01001,585,585,11050700
4/22/2020,615.98999,635,603.200012,626.559998,626.559998,5031600
4/23/2020,631.299988,639.840027,610.390015,620.48999,620.48999,4383900
4/24/2020,624,651.98999,605.599976,643.190002,643.190002,5451400
4/27/2020,662.599976,662.599976,623.039978,628.580017,628.580017,4030000
4/28/2020,634,639.76001,610.099976,633.650024,633.650024,3685700
4/29/2020,637,645.549988,621.130005,639.98999,639.98999,2403900
4/30/2020,625,645.97998,623,632.289978,632.289978,2446000
5/1/2020,615,627.859985,595.030029,613.640015,613.640015,2521200
5/4/2020,620.640015,658.900024,617.01001,658.890015,658.890015,2759800
5/5/2020,670,704.690002,662,686.109985,686.109985,5143700
5/6/2020,672.880005,739.23999,669,733.530029,733.530029,6913300
5/7/2020,719.940002,738.710022,715,722.76001,722.76001,4603400
5/8/2020,705.549988,721,703,708.969971,708.969971,4084100
5/11/2020,706.960022,752.5,703.780029,750.340027,750.340027,3667300
5/12/2020,769,770.950012,733.950012,742.280029,742.280029,3696100
5/13/2020,750,768.590027,717.289978,754.380005,754.380005,4369600
5/14/2020,749.890015,758.090027,733,754.289978,754.289978,2847500
5/15/2020,754.299988,774.789978,751.25,767,767,3023500
5/18/2020,770,770.72998,733,738.02002,738.02002,3675100
